distrito_nro,escuela_nro,escuela,direccion,circuito_nro,seccion_nro,localidad,desde,hasta,cant_mesas,latitud,longitud
1,32604,UNIVERSIDAD DEL MUSEO SOCIAL ARGENTINO,CORRIENTES AV 1723,11,1,CIUDAD DE BUENOS AIRES,274,281,8,,
1,32608,COLEGIO DON BOSCO,SOLIS 252 / MORENO S/N,12,1,CIUDAD DE BUENOS AIRES,296,310,15,,
1,32609,ESC Nº14 GRAL MARIANO NECOCHEA,L SAENZ PEÑA 463,12,1,CIUDAD DE BUENOS AIRES,311,319,9,,
1,32610,INST LOS ROBLES,L SAENZ PEÑA 443,12,1,CIUDAD DE BUENOS AIRES,320,327,8,,
1,32611,ESC Nº13 PROV DE SANTIAGO DEL ESTERO,CHILE 1371,13,1,CIUDAD DE BUENOS AIRES,328,331,4,,
1,32614,ESC Nº2 FRAY C RODRIGUEZ,CHILE 1670,13,1,CIUDAD DE BUENOS AIRES,340,344,5,,
1,32621,ESC Nº5 AGUSTIN ALVAREZ,HUMBERTO I 1573,13,1,CIUDAD DE BUENOS AIRES,351,363,13,,
1,32616,INST NTRA SRA DE MONSERRAT,BELGRANO AV 1344,13,1,CIUDAD DE BUENOS AIRES,345,350,6,,
1,32612,UNIVERSIDAD ARGENTINA DE LA EMPRESA,LIMA 761 / AV INDEPENDENCIA 1127,13,1,CIUDAD DE BUENOS AIRES,332,339,8,,
1,32625,COLEGIO NACIONAL BUENOS AIRES,BOLIVAR 263 / MORENO 519,14,1,CIUDAD DE BUENOS AIRES,367,378,12,,
1,32622,ESC POLITECNICA Nº5 MANUEL BELGRANO,BOLIVAR 346,14,1,CIUDAD DE BUENOS AIRES,364,366,3,,
1,32627,ESC Nº3 SANCHEZ DE THOMPSON,TACUARI 567,15,1,CIUDAD DE BUENOS AIRES,379,386,8,,
1,32630,ESC Nº4 CNEL ISIDORO SUAREZ,REPUBLICA BOLIVARIANA DE VENEZUELA 771,15,1,CIUDAD DE BUENOS AIRES,387,395,9,,
1,32634,ESC TEC Nº1 OTTO KRAUSE,PASEO COLON AV 650,15,1,CIUDAD DE BUENOS AIRES,396,403,8,,
1,32640,ESC INTEGRAL INTERDISCIPLINARIA Nº3,PIEDRAS 1430,16,1,CIUDAD DE BUENOS AIRES,411,421,11,,
1,32635,ESC SANTA CATALINA DE ALEJANDRIA,PIEDRAS 1527,16,1,CIUDAD DE BUENOS AIRES,404,410,7,,
1,32645,UNIVERSIDAD ARGENTINA J F KENNEDY,PERU 1156,16,1,CIUDAD DE BUENOS AIRES,422,427,6,,
1,32655,COLEGIO INMACULADA CONCEPCION,CARLOS CALVO 1186,17,1,CIUDAD DE BUENOS AIRES,435,438,4,,
1,32663,ESC Nº11 DR RICARDO GUTIERREZ,PTE LUIS SAENZ PEÑA 1215 / AV SAN JUAN S/N,17,1,CIUDAD DE BUENOS AIRES,453,462,10,,
1,32650,ESC Nº7 GRAL GUEMES,CARLOS CALVO 1140,17,1,CIUDAD DE BUENOS AIRES,428,434,7,,
1,32657,UBA FACULTAD DE CS SOCIALES,SAN JOSE / CARLOS CALVO S/N,17,1,CIUDAD DE BUENOS AIRES,439,452,14,,
1,32671,COLEGIO DE LA PROVIDENCIA,COCHABAMBA 1414,18,1,CIUDAD DE BUENOS AIRES,473,480,8,,
1,32667,ESC Nº16 EUSTAQUIO CARDENAS,SALTA 1226,18,1,CIUDAD DE BUENOS AIRES,463,472,10,,
1,32675,INST ROSA ANCHORENA DE IBAÑEZ,SAN JUAN AV 1774,18,1,CIUDAD DE BUENOS AIRES,481,484,4,,
1,32695,ESC Nº4 CNEL DE MARINA T ESPORA,SOLIS 1815,19,1,CIUDAD DE BUENOS AIRES,505,514,10,,
1,32690,ESC Nº6 TOMAS GUIDO,SAN JOSE 1985,19,1,CIUDAD DE BUENOS AIRES,495,504,10,,
1,32681,INST HOGAR DEL PINO,CONSTITUCION 1650,19,1,CIUDAD DE BUENOS AIRES,485,490,6,,
1,32687,INST JOSE MANUEL ESTRADA,ENTRE RIOS AV 1428,19,1,CIUDAD DE BUENOS AIRES,491,494,4,,
1,32699,INST VOCACIONAL DE ARTE,GARAY JUAN DE AV 1684,19,1,CIUDAD DE BUENOS AIRES,515,517,3,,
1,32741,UBA FACULTAD DE DERECHO,FIGUEROA ALCORTA JOSE PRES AV 2263,20,2,CIUDAD DE BUENOS AIRES,518,541,24,,
1,32753,ESC Nº1 JUAN JOSE CASTELLI,AYACUCHO 1680,21,2,CIUDAD DE BUENOS AIRES,554,574,21,,
1,32748,ESC Nº21 ANGEL GALLARDO,AYACUCHO 1849,21,2,CIUDAD DE BUENOS AIRES,548,553,6,,
1,32756,INST NTRA SRA DEL PILAR,VICENTE LOPEZ 1969,21,2,CIUDAD DE BUENOS AIRES,575,580,6,,
1,32745,UBA FACULTAD DE DERECHO,FIGUEROA ALCORTA JOSE PRES AV 2263,21,2,CIUDAD DE BUENOS AIRES,542,547,6,,
1,32766,COLEGIO SAN TARSICIO,JUNCAL 2623,22,2,CIUDAD DE BUENOS AIRES,610,613,4,,
1,32759,ESC Nº18 DR HERRERA VEGAS,LAS HERAS GRAL AV 3086,22,2,CIUDAD DE BUENOS AIRES,581,591,11,,
1,32769,ESC Nº24 CORNELLA PIZARRO,PEÑA 2670,22,2,CIUDAD DE BUENOS AIRES,614,627,14,,
1,32762,INST SAN AGUSTIN,AGUERO 2320 / AGUERO S/N,22,2,CIUDAD DE BUENOS AIRES,592,609,18,,
1,32778,COLEGIO RIO DE LA PLATA,LAPRIDA 1635,23,2,CIUDAD DE BUENOS AIRES,647,651,5,,
1,32782,ESC Nº10 GREGORIA PEREZ,ARENALES 2733,23,2,CIUDAD DE BUENOS AIRES,652,664,13,,
1,32772,INST M BIANCHI DE COPELLO,PACHECO DE MELO 2455,23,2,CIUDAD DE BUENOS AIRES,628,635,8,,
1,32775,INST MERCEDES PACHECO,T M ANCHORENA 1533,23,2,CIUDAD DE BUENOS AIRES,636,646,11,,
1,32784,INST SAN MIGUEL,LARREA 1254,23,2,CIUDAD DE BUENOS AIRES,665,671,7,,
1,32787,LICEO NACIONAL Nº1 J F ALCORTA,SANTA FE AV 2778,23,2,CIUDAD DE BUENOS AIRES,672,685,14,,
1,32795,COLEGIO SAN PABLO,PACHECO DE MELO 2300,24,2,CIUDAD DE BUENOS AIRES,711,723,13,,
1,32792,INST NTRA SRA DE LA MISERICORDIA,AZCUENAGA 1630,24,2,CIUDAD DE BUENOS AIRES,699,710,12,,
1,32791,UBA FACULTAD DE INGENIERIA,LAS HERAS GRAL AV 2214,24,2,CIUDAD DE BUENOS AIRES,686,698,13,,
1,32798,COLEGIO LA ANUNCIATA,ARENALES 2065,25,2,CIUDAD DE BUENOS AIRES,724,730,7,,
1,32805,ESC INTEGRAL INTERDISCIPLINARIA Nº1,AYACUCHO 953,25,2,CIUDAD DE BUENOS AIRES,744,753,10,,
1,32803,ESC SUP DE COM CARLOS PELLEGRINI,M T DE ALVEAR 1851 / 1875,25,2,CIUDAD DE BUENOS AIRES,734,743,10,,
1,32801,INST PADRE ETCHEVERRY BONEO,JUNCAL 2131,25,2,CIUDAD DE BUENOS AIRES,731,733,3,,
1,32807,UBA FACULTAD DE MEDICINA,PARAGUAY 2155,25,2,CIUDAD DE BUENOS AIRES,754,760,7,,
1,32811,COLEGIO CHAMPAGNAT,MONTEVIDEO 1046,26,2,CIUDAD DE BUENOS AIRES,783,797,15,,
1,32815,ESC ARGENTINA MODELO,RIOBAMBA 1059,26,2,CIUDAD DE BUENOS AIRES,802,808,7,,
1,32809,ESC Nº3 ONESIMO LEGUIZAMON,AV SANTA FE 1510 / PARANA 1068,26,2,CIUDAD DE BUENOS AIRES,761,774,14,,
1,32810,INST DEL CARMEN,PARAGUAY 1706,26,2,CIUDAD DE BUENOS AIRES,775,782,8,,
1,32813,INST INMACULADA C DE M ADORATRICES,URUGUAY 936,26,2,CIUDAD DE BUENOS AIRES,798,801,4,,
1,32819,ESC Nº1 ROQUE SAENZ PEÑA P,PARAGUAY 1950,27,2,CIUDAD DE BUENOS AIRES,823,845,23,,
1,32816,ESC Nº1 ROQUE SAENZ PEÑA S,CORDOBA AV 1951,27,2,CIUDAD DE BUENOS AIRES,809,822,14,,
1,32821,ESC Nº2 JUAN LARREA,LAPRIDA 1235,28,2,CIUDAD DE BUENOS AIRES,855,872,18,,
1,32820,ESC Nº23 BERNARDINO RIVADAVIA,LARREA 854,28,2,CIUDAD DE BUENOS AIRES,846,854,9,,
1,32826,ESC Nº6 MANUEL BELGRANO,ECUADOR 1158,28,2,CIUDAD DE BUENOS AIRES,888,897,10,,
1,32823,INST EDMONDO DE AMICIS,N QUIRNO COSTA 1260,28,2,CIUDAD DE BUENOS AIRES,873,887,15,,
1,32827,COLEGIO ALETHEIA,GALLO 1353,29,2,CIUDAD DE BUENOS AIRES,898,904,7,,
1,32830,ESC Nº13 REP DE IRAN,CABRERA JOSE ANTONIO 3484,29,2,CIUDAD DE BUENOS AIRES,917,924,8,,
1,32832,INST EDUCATIVO GUIDO SPANO,BILLINGHURST 1355,29,2,CIUDAD DE BUENOS AIRES,925,928,4,,
1,32829,INST VOCACIONAL ARGENTINO,CHARCAS 3034,29,2,CIUDAD DE BUENOS AIRES,905,916,12,,
1,32833,UP FACULTAD DE CS SOCIALES,MARIO BRAVO 1259,29,2,CIUDAD DE BUENOS AIRES,929,932,4,,
1,32467,ESC N°14 JUAN MARTIN DE PUEYRREDON,PUEYRREDON AV 630,30,3,CIUDAD DE BUENOS AIRES,960,965,6,,
1,32397,ESC N°23 T M DE ANCHORENA,T M ANCHORENA 855,30,3,CIUDAD DE BUENOS AIRES,946,953,8,,
1,32399,ESC N°24 PROV DE CATAMARCA,JEAN JAURES 870,30,3,CIUDAD DE BUENOS AIRES,954,959,6,,
1,32396,ESC N°8 DR ARTURO MATEO BAS,TUCUMAN 3233,30,3,CIUDAD DE BUENOS AIRES,933,945,13,,
1,32474,ESC Nº10 PDTE MANUEL QUINTANA,LAVALLE 2366,31,3,CIUDAD DE BUENOS AIRES,983,996,14,,
1,32472,UBA FACULTAD DE CIENCIAS ECONOMICAS C,CORDOBA AV 2150,31,3,CIUDAD DE BUENOS AIRES,966,982,17,,
1,32478,UBA FACULTAD DE CIENCIAS ECONOMICAS U,URIBURU JOSE EVARISTO PRES 781,31,3,CIUDAD DE BUENOS AIRES,997,1002,6,,
1,32481,COLEGIO DEL SALVADOR,CALLAO AV 542,32,3,CIUDAD DE BUENOS AIRES,1003,1006,4,,
1,32500,COLEGIO SANTO TOMAS DE AQUINO,TTE GRAL PERON 1862,32,3,CIUDAD DE BUENOS AIRES,1021,1024,4,,
1,32506,ESC Nº2 DR ANTONIO BERMEJO,RIOBAMBA 623,32,3,CIUDAD DE BUENOS AIRES,1025,1030,6,,
1,32491,LICEO Nº7 D F SARMIENTO,CALLAO AV 450,32,3,CIUDAD DE BUENOS AIRES,1013,1020,8,,
1,32515,POLIDEPORTIVO CANGALLO SCHULE,TTE GRAL J D PERON 1953 / 1955,32,3,CIUDAD DE BUENOS AIRES,1031,1035,5,,
1,32486,USAL FACULTAD DE FILOSOFIA,LAVALLE 1878,32,3,CIUDAD DE BUENOS AIRES,1007,1012,6,,
1,32530,COLEGIO Nº5 BARTOLOME MITRE,VALENTIN GOMEZ 3163,33,3,CIUDAD DE BUENOS AIRES,1058,1064,7,,
1,32519,ESC Nº16 PDTE MITRE,SARMIENTO 2832,33,3,CIUDAD DE BUENOS AIRES,1036,1044,9,,
1,32526,ESC Nº6 GRAL MARTIN RODRIGUEZ,T M ANCHORENA 441,33,3,CIUDAD DE BUENOS AIRES,1045,1057,13,,
1,32538,ESC CANGALLO SCHULE,TTE GRAL J D PERON 2169 / 2151,34,3,CIUDAD DE BUENOS AIRES,1065,1076,12,,
1,32551,ESC Nº14 CORNELIO SAAVEDRA,SARMIENTO 2250,34,3,CIUDAD DE BUENOS AIRES,1085,1098,14,,
1,32554,INST ARG GALLEGO SANTIAGO APOSTOL,PASO 51,34,3,CIUDAD DE BUENOS AIRES,1099,1106,8,,
1,32547,UBA CENTRO DE IDIOMAS,JUNIN 224,34,3,CIUDAD DE BUENOS AIRES,1077,1084,8,,
1,32581,ESC Nº13 GRAL M ZAPIOLA,GRAL URQUIZA 227,35,3,CIUDAD DE BUENOS AIRES,1137,1143,7,,
1,32577,ESC Nº2 MARIANO ACOSTA,GRAL URQUIZA 277,35,3,CIUDAD DE BUENOS AIRES,1127,1136,10,,
1,32573,INST ARCANGEL SAN MIGUEL,T M ANCHORENA 41,35,3,CIUDAD DE BUENOS AIRES,1117,1126,10,,
1,32568,UBA FACULTAD DE PSICOLOGIA,H YRIGOYEN 3242,35,3,CIUDAD DE BUENOS AIRES,1107,1116,10,,
1,32591,ESC Nº12 REP DEL PARAGUAY,AGRELO 3231,36,3,CIUDAD DE BUENOS AIRES,1156,1168,13,,
1,32585,ESC Nº5 PAUL GROUSSAC,CATAMARCA 462,36,3,CIUDAD DE BUENOS AIRES,1144,1155,12,,
1,32595,CIRCULO DE SUBOFICIALES DE LA PFA,BELGRANO AV 2584,37,3,CIUDAD DE BUENOS AIRES,1169,1172,4,,
1,32613,ESC Nº1 ESTEBAN DE LUCA,ALSINA ADOLFO 2499,37,3,CIUDAD DE BUENOS AIRES,1178,1181,4,,
1,32618,ESC Nº6 DR GUILLERMO CORREA,SAAVEDRA 695,37,3,CIUDAD DE BUENOS AIRES,1190,1200,11,,
1,32615,ESC TEC Nº25  F L BELTRAN,JUJUY 780,37,3,CIUDAD DE BUENOS AIRES,1182,1189,8,,
1,32600,LICEO Nº10 RICARDO ROJAS,JUJUY 150,37,3,CIUDAD DE BUENOS AIRES,1173,1177,5,,
1,32631,COLEGIO SAN JOSE,BARTOLOME MITRE 2455,38,3,CIUDAD DE BUENOS AIRES,1228,1237,10,,
1,32619,ESC Nº15 NARCISO DE LAPRIDA,MEXICO 2383,38,3,CIUDAD DE BUENOS AIRES,1201,1209,9,,
1,32624,ESC Nº34 MONSEÑOR M D ANDREA,MORENO 2135,38,3,CIUDAD DE BUENOS AIRES,1210,1218,9,,
1,32628,ESC Nº9 MARIANO MORENO,MORENO 2104 / RINCON S/N,38,3,CIUDAD DE BUENOS AIRES,1219,1227,9,,
1,32643,COLEGIO EUSKAL ECHEA,CHILE 2032 / 2054,39,3,CIUDAD DE BUENOS AIRES,1241,1251,11,,
1,32637,COLEGIO ISABEL CONDE DE HERNANDEZ,MORENO 1859,39,3,CIUDAD DE BUENOS AIRES,1238,1240,3,,
1,32652,ESC Nº5 JOSE DE SAN MARTIN,AV ENTRE RIOS 757 / 751,39,3,CIUDAD DE BUENOS AIRES,1259,1275,17,,
1,32648,INST DON ORIONE,H YRIGOYEN 2084,39,3,CIUDAD DE BUENOS AIRES,1252,1258,7,,
1,32666,ESC Nº11 JOSE FEDERICO MORENO,HUMBERTO I 3171,40,3,CIUDAD DE BUENOS AIRES,1287,1294,8,,
1,32672,ESC Nº15 LUIS CHINETTI,EE UU 3141 / PADRE BERNARDO 876,40,3,CIUDAD DE BUENOS AIRES,1295,1299,5,,
1,32676,ESC Nº7 OLEGARIO V ANDRADE,24 DE NOVIEMBRE 1536,40,3,CIUDAD DE BUENOS AIRES,1300,1302,3,,
1,32659,INST SANTA CRUZ,24 DE NOVIEMBRE 950,40,3,CIUDAD DE BUENOS AIRES,1276,1286,11,,
1,32696,ESC Nº10 FRANCISCO DE GURRUCHAGA,JUJUY 1471,41,3,CIUDAD DE BUENOS AIRES,1334,1339,6,,
1,32688,ESC Nº17 LUIS JOSE CHORROARIN,CARLOS CALVO 2827,41,3,CIUDAD DE BUENOS AIRES,1317,1324,8,,
1,32679,ESC Nº3 RUFINO SANCHEZ,LA RIOJA 850,41,3,CIUDAD DE BUENOS AIRES,1303,1309,7,,
1,32683,ESC Nº8 PDTE JULIO ARGENTINO ROCA,LA RIOJA 1042,41,3,CIUDAD DE BUENOS AIRES,1310,1316,7,,
1,32701,ESC TEC Nº11 MANUEL BELGRANO,COCHABAMBA 2830,41,3,CIUDAD DE BUENOS AIRES,1340,1355,16,,
1,32691,INST SAN CRISTOBAL,AV JUJUY 1241 / AV JUJUY S/N,41,3,CIUDAD DE BUENOS AIRES,1325,1333,9,,
1,32707,ESC Nº21 CARLOS PELLEGRINI,ENTRE RIOS AV 1341,42,3,CIUDAD DE BUENOS AIRES,1365,1370,6,,
1,32711,ESC Nº22 CARLOS PELLEGRINI,ENTRE RIOS AV 1359,42,3,CIUDAD DE BUENOS AIRES,1371,1378,8,,
1,32715,ESC Nº23 GRAL VIAMONTE,PASCO 961,42,3,CIUDAD DE BUENOS AIRES,1379,1390,12,,
1,32704,ESC Nº25 GERVASIO POSADAS,SAN JUAN AV 2277,42,3,CIUDAD DE BUENOS AIRES,1356,1364,9,,
1,32719,INST NTRA SRA DEL HUERTO,AV INDEPENDENCIA 2140 / 2150,42,3,CIUDAD DE BUENOS AIRES,1391,1401,11,,
1,32036,ESC N°26 BRIG M DE AZCUENAGA,PICHINCHA 1873,43,4,CIUDAD DE BUENOS AIRES,1430,1436,7,,
1,32028,INST FELIX F BERNASCONI,CATULO CASTILLO 2750,43,4,CIUDAD DE BUENOS AIRES,1402,1414,13,,
1,32085,INST NTRA SRA DE LUJAN,AV JUJUY 2179 / RONDEAU 2626,43,4,CIUDAD DE BUENOS AIRES,1415,1429,15,,
1,32039,ESC N°11 RICARDO LEVENE,DEAN FUNES 1821,44,4,CIUDAD DE BUENOS AIRES,1437,1441,5,,
1,32046,ESC N°2 JOSE MARIA GUTIERREZ,LA RIOJA 1846,44,4,CIUDAD DE BUENOS AIRES,1454,1463,10,,
1,32042,INST SAN VICENTE DE PAUL,24 DE NOVIEMBRE 1665,44,4,CIUDAD DE BUENOS AIRES,1442,1453,12,,
1,32052,ESC DE RECUPERACION N°5,J A CORTEJARENA 3350,45,4,CIUDAD DE BUENOS AIRES,1477,1484,8,,
1,32051,ESC N°19 PROV DE FORMOSA,ELIA 473,45,4,CIUDAD DE BUENOS AIRES,1472,1476,5,,
1,32049,ESC N°2 PATRICIOS,ALMAFUERTE AV 66,45,4,CIUDAD DE BUENOS AIRES,1464,1471,8,,
1,32058,ESC N°18 JUAN E PESTALOZZI,CASEROS AV 2152,46,4,CIUDAD DE BUENOS AIRES,1497,1503,7,,
1,32055,ESC N°18 REINO DE SUECIA,JUAN C GOMEZ 253,46,4,CIUDAD DE BUENOS AIRES,1493,1496,4,,
1,32053,ESC TEC N°7 D LAVALLE DE LAVALLE,ZAVALETA 204,46,4,CIUDAD DE BUENOS AIRES,1485,1492,8,,
1,32061,ESC N°11 REP DE HAITI,LAFAYETTE 1879,47,4,CIUDAD DE BUENOS AIRES,1504,1517,14,,
1,32063,ESC N°13 FRAY MAMERTO ESQUIU,SALOM 332,47,4,CIUDAD DE BUENOS AIRES,1533,1541,9,,
1,32067,ESC N°8 CARLOS NORBERTO VERGARA,AMANCIO ALCORTA AV 1934,47,4,CIUDAD DE BUENOS AIRES,1542,1548,7,,
1,32088,INST SAGRADO CORAZON,AV VELEZ SARSFIELD 1351 / CALIFORNIA 3018,47,4,CIUDAD DE BUENOS AIRES,1518,1532,15,,
1,32099,CENTRO CENTES N°1,DR RAMON CARRILLO 317,48,4,CIUDAD DE BUENOS AIRES,1574,1577,4,,
1,32104,ESC N°1 REP DE BOLIVIA,GRAL HORNOS 530,48,4,CIUDAD DE BUENOS AIRES,1583,1590,8,,
1,32070,ESC N°28 FRANCISCO P MORENO,SALMUN FEIJOO 1073,48,4,CIUDAD DE BUENOS AIRES,1549,1553,5,,
1,32092,ESC N°3 BERNARDO DE IRIGOYEN,MONTES DE OCA MANUEL AV 439,48,4,CIUDAD DE BUENOS AIRES,1563,1567,5,,
1,32096,ESC N°5 GRAL M MIGUEL DE GUEMES,ARCAMENDIA 793,48,4,CIUDAD DE BUENOS AIRES,1568,1573,6,,
1,32102,ESC TEC N°4 REP DEL LIBANO,MONTES DE OCA MANUEL AV 121,48,4,CIUDAD DE BUENOS AIRES,1578,1582,5,,
1,32090,LICEO COM N°3 JOSE M ASTRADA,ARCAMENDIA 743,48,4,CIUDAD DE BUENOS AIRES,1554,1562,9,,
1,32110,ESC N°20 NIEVES ESCALADA DE OROMI,SAN ANTONIO 682,49,4,CIUDAD DE BUENOS AIRES,1605,1612,8,,
1,32109,ESC N°24 PDTE DERQUI,CALIFORNIA 1925 / CALIFORNIA S/N,49,4,CIUDAD DE BUENOS AIRES,1599,1604,6,,
1,32108,ESC TEC N°10 FRAY LUIS BELTRAN,VIEYTES 942,49,4,CIUDAD DE BUENOS AIRES,1591,1598,8,,
1,32111,ESC TEC N°14 LIBERTAD,S MAGDALENA 431,49,4,CIUDAD DE BUENOS AIRES,1613,1625,13,,
1,32115,ESC DE BELLAS ARTES M BELGRANO,WENCESLAO VILLAFAÑE 1342,50,4,CIUDAD DE BUENOS AIRES,1642,1652,11,,
1,32113,ESC N°7 JUAN DE GARAY,CASEROS AV 734,50,4,CIUDAD DE BUENOS AIRES,1626,1641,16,,
1,32118,INST SANTA FELICITAS,PINZON 1480,50,4,CIUDAD DE BUENOS AIRES,1653,1666,14,,
1,32121,ESC N°1 JOAQUIN V GONZALEZ,MONTES DE OCA MANUEL AV 1356,51,4,CIUDAD DE BUENOS AIRES,1680,1695,16,,
1,32120,INST ZACCARIA,MONTES DE OCA MANUEL AV 1844,51,4,CIUDAD DE BUENOS AIRES,1667,1679,13,,
1,32133,ESC N°11 ANTONIO J BUCICH,BRANDSEN 1057,52,4,CIUDAD DE BUENOS AIRES,1726,1732,7,,
1,32128,ESC N°13 REP DE CHILE,SUAREZ 1145,52,4,CIUDAD DE BUENOS AIRES,1714,1725,12,,
1,32124,ESC N°3 JUAN MARTIN GUTIERREZ,ROCHA 1226,52,4,CIUDAD DE BUENOS AIRES,1696,1704,9,,
1,32126,ESC N°4 JOSE JACINTO BERRUTTI,QUINQUELA MARTIN B 1081 / ALVAR NUÑEZ S/N,52,4,CIUDAD DE BUENOS AIRES,1705,1713,9,,
1,32134,ESC MED N°3 CASA AMARILLA,PALOS 210,53,4,CIUDAD DE BUENOS AIRES,1733,1740,8,,
1,32144,ESC N°1 ALTE GUILLERMO BROWN,A DEL VALLE 471,53,4,CIUDAD DE BUENOS AIRES,1748,1757,10,,
1,32145,ESC N°10 GRAL G ARAOZ DE LAMADRID,ARAOZ DE LAMADRID 499,53,4,CIUDAD DE BUENOS AIRES,1758,1766,9,,
1,32146,ESC N°29 A MANUEL BELGRANO,ARAOZ DE LAMADRID 676,53,4,CIUDAD DE BUENOS AIRES,1767,1773,7,,
1,32135,ESC N°9 PEDRO DE MENDOZA,MENDOZA DON PEDRO DE AV 1835,53,4,CIUDAD DE BUENOS AIRES,1741,1747,7,,
1,32150,ESC INTEGRAL INTERDISCIPLINARIA N°4,BROWN ALTE AV 473,54,4,CIUDAD DE BUENOS AIRES,1810,1816,7,,
1,32149,ESC N°2 DR CARLOS R VIGNALE,WENCESLAO VILLAFAÑE 453,54,4,CIUDAD DE BUENOS AIRES,1803,1809,7,,
1,32147,ESC N°8 CARLOS DELLA PENA,DR E BRAUN MENENDEZ 260,54,4,CIUDAD DE BUENOS AIRES,1774,1795,22,,
1,32148,INST MADRE DE LOS EMIGRANTES,NECOCHEA 330,54,4,CIUDAD DE BUENOS AIRES,1796,1802,7,,
1,32155,COLEGIO NTRA SRA DE LA DIVINA PROVIDENCIA,CACHI 724 / 730,55,4,CIUDAD DE BUENOS AIRES,1839,1845,7,,
1,32154,ESC N°16 SABINA B DE BOZZALLA,AMANCIO ALCORTA AV 3402,55,4,CIUDAD DE BUENOS AIRES,1833,1838,6,,
