Seccion,SeccionNombre,Circuito,CircuitoNombre,Mesa,Establecimiento,Domicilio,TipoMesa,CantElectores,Secc-Circuito
1,Capital,1,SECCIONAL PRIMERA,15,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,16,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,17,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,18,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,340,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,19,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,20,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,345,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,21,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,345,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,22,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,23,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,346,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,24,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,25,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,26,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,27,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,28,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,29,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,30,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,345,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,31,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,32,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,33,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,34,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,35,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,36,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,37,COL NAC DE MONSERRAT,OBISPO TREJO 294,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,38,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,39,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,40,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,41,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,42,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,43,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,44,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,341,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,45,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,46,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,340,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,47,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,2,SECCIONAL SEGUNDA,48,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,49,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,50,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,51,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,340,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,52,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,341,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,53,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,339,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,54,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,339,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,55,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,340,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,56,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,339,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,57,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,340,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,58,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,59,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,339,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,60,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,341,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,61,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,341,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,62,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,63,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,340,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,64,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,342,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,2,SECCIONAL SEGUNDA,65,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 488,Mixto,339,1-2 Capital - SECCIONAL SEGUNDA
1,Capital,3,SECCIONAL TERCERA,66,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,67,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,68,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,69,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,70,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,71,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,72,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,73,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,74,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,75,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,76,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,77,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,78,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,79,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,341,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,80,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,81,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,82,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,83,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,84,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,85,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,86,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,87,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,339,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,88,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,89,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,90,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,91,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,92,ESC SANTO TOMAS,CASEROS 745,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,93,ESC SANTO TOMAS,CASEROS 745,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,94,ESC SANTO TOMAS,CASEROS 745,Mixto,348,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,95,ESC SANTO TOMAS,CASEROS 745,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,96,ESC SANTO TOMAS,CASEROS 745,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,97,ESC SANTO TOMAS,CASEROS 745,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,98,ESC SANTO TOMAS,CASEROS 745,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,99,ESC SANTO TOMAS,CASEROS 745,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,100,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,101,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,102,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,347,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,103,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,104,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,105,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,106,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,107,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,108,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,109,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,110,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,111,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,112,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,113,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,346,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,114,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,115,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,337,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,116,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,117,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,118,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,119,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,343,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,120,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,342,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,121,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,122,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,123,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,124,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,345,1-3 Capital - SECCIONAL TERCERA
1,Capital,3,SECCIONAL TERCERA,125,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE 1299,Mixto,344,1-3 Capital - SECCIONAL TERCERA
1,Capital,4,NUEVA CORDOBA,126,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,127,COL NACIONAL DEAN FUNES,PERU 10,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,128,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,129,COL NACIONAL DEAN FUNES,PERU 10,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,130,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,131,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,132,COL NACIONAL DEAN FUNES,PERU 10,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,133,COL NACIONAL DEAN FUNES,PERU 10,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,134,COL NACIONAL DEAN FUNES,PERU 10,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,135,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,136,COL NACIONAL DEAN FUNES,PERU 10,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,137,COL NACIONAL DEAN FUNES,PERU 10,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,138,COL NACIONAL DEAN FUNES,PERU 10,Mixto,349,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,139,COL NACIONAL DEAN FUNES,PERU 10,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,140,COL NACIONAL DEAN FUNES,PERU 10,Mixto,345,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,141,COL NACIONAL DEAN FUNES,PERU 10,Mixto,349,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,142,COL NACIONAL DEAN FUNES,PERU 10,Mixto,350,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,143,COL NACIONAL DEAN FUNES,PERU 10,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,144,COL NACIONAL DEAN FUNES,PERU 10,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,145,COL NACIONAL DEAN FUNES,PERU 10,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,146,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,349,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,147,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,345,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,148,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,149,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,345,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,150,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,151,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,343,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,152,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,153,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,154,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,343,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,155,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,156,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,157,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,158,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,345,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,159,IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,160,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,161,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,344,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,162,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,349,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,163,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,347,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,164,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,348,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,165,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,345,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,166,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,346,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,167,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,343,1-4 Capital - NUEVA CORDOBA
1,Capital,4,NUEVA CORDOBA,168,ESC GDOR ALVAREZ,C ARENAL 699,Mixto,344,1-4 Capital - NUEVA CORDOBA
